Winner,Loser,Tournament,Tournament_Date,Court_Surface,Round_Description,Winner_Rank,Loser_Rank,Retirement_Ind,Winner_Sets_Won,Winner_Games_Won,Winner_Aces,Winner_DoubleFaults,Winner_FirstServes_Won,Winner_FirstServes_In,Winner_SecondServes_Won,Winner_SecondServes_In,Winner_BreakPoints_Won,Winner_BreakPoints,Winner_ReturnPoints_Won,Winner_ReturnPoints_Faced,Winner_TotalPoints_Won,Loser_Sets_Won,Loser_Games_Won,Loser_Aces,Loser_DoubleFaults,Loser_FirstServes_Won,Loser_FirstServes_In,Loser_SecondServes_Won,Loser_SecondServes_In,Loser_BreakPoints_Won,Loser_BreakPoints,Loser_ReturnPoints_Won,Loser_ReturnPoints_Faced,Loser_TotalPoints_Won
philipp kohlschreiber,carlos berlocq,Hamburg,11-Jul-16,Clay,First Round,22,87,0,2,18,6,5,37,47,19,33,5,19,58,131,114,1,13,2,5,55,96,18,35,1,1,24,80,97
pablo cuevas,florian mayer,Hamburg,11-Jul-16,Clay,First Round,24,77,0,2,12,6,2,24,27,14,23,3,15,37,81,75,0,7,2,0,38,55,6,26,0,0,12,50,56
paul-henri mathieu,gerald melzer,Hamburg,11-Jul-16,Clay,First Round,66,108,0,2,13,7,7,30,43,14,35,5,5,27,59,71,0,10,5,3,22,31,10,28,4,6,34,78,66
martin klizan,igor sijsling,Hamburg,11-Jul-16,Clay,First Round,47,116,0,2,13,3,3,36,57,12,31,5,8,28,66,76,1,13,4,1,24,34,14,32,5,9,40,88,78
nicolas almagro,jan satral,Hamburg,11-Jul-16,Clay,First Round,44,206,0,2,15,6,6,38,48,21,39,3,10,29,79,88,1,11,6,4,35,48,15,31,1,6,28,87,78
daniil medvedev,jan-lennard struff,Hamburg,11-Jul-16,Clay,First Round,215,86,0,2,17,4,1,37,49,30,44,2,2,32,94,99,1,15,1,5,37,47,25,47,1,1,26,93,88
maximo gonzalez,jeremy chardy,Hamburg,11-Jul-16,Clay,First Round,142,34,0,2,15,3,5,36,56,21,44,4,7,34,84,91,1,14,5,4,32,47,18,37,4,11,43,100,93
guillermo garcia-lopez,kenny de schepper,Hamburg,11-Jul-16,Clay,First Round,56,159,0,2,18,2,6,43,65,22,40,5,13,43,106,108,1,15,2,3,49,81,14,25,4,10,40,105,103
stephane robert,leonardo mayer,Hamburg,11-Jul-16,Clay,First Round,83,109,0,2,13,1,5,32,36,19,41,2,4,25,70,76,0,10,2,5,35,41,10,29,1,5,26,77,71
grega zemlja,marvin moeller,Hamburg,11-Jul-16,Clay,First Round,151,.,0,2,12,3,0,21,27,15,24,4,11,27,49,63,0,3,2,2,15,28,7,21,0,3,15,51,37
renzo olivo,mikhail youzhny,Hamburg,11-Jul-16,Clay,First Round,153,63,0,2,15,7,3,34,48,28,56,3,9,35,86,97,1,13,2,3,32,41,19,45,3,8,42,104,93
thiago monteiro,mischa zverev,Hamburg,11-Jul-16,Clay,First Round,123,141,0,2,13,1,0,27,37,14,25,3,8,30,76,71,0,10,7,1,35,48,11,28,2,2,21,62,67
louis wessels,steven diez,Hamburg,11-Jul-16,Clay,First Round,.,200,0,2,17,2,5,43,60,13,27,5,11,38,85,94,1,10,1,2,35,60,12,25,2,5,31,87,78
nicolas kicker,thomas fabbiano,Hamburg,11-Jul-16,Clay,First Round,144,113,0,2,17,2,6,33,51,24,39,6,10,33,74,90,1,11,4,3,28,48,13,26,3,10,33,90,74
daniel gimeno-traver,daniil medvedev,Hamburg,11-Jul-16,Clay,Second Round,156,215,0,2,19,1,6,58,97,31,52,3,11,48,128,137,1,19,5,2,48,67,32,61,4,18,60,149,140
guillermo garcia-lopez,grega zemlja,Hamburg,11-Jul-16,Clay,Second Round,56,151,0,2,12,3,0,25,36,9,14,5,8,27,51,61,0,4,2,3,14,24,10,27,1,3,16,50,40
stephane robert,inigo cervantes,Hamburg,11-Jul-16,Clay,Second Round,83,82,0,2,17,2,3,34,55,25,48,7,12,47,97,106,1,12,8,5,32,49,18,48,4,17,44,103,94
martin klizan,louis wessels,Hamburg,11-Jul-16,Clay,Second Round,47,.,0,2,12,4,1,19,30,13,17,5,8,23,37,55,0,2,3,4,13,28,1,9,0,4,15,47,29
renzo olivo,maximo gonzalez,Hamburg,11-Jul-16,Clay,Second Round,153,142,0,2,12,4,2,37,50,13,28,2,4,22,57,72,0,7,1,2,23,34,12,23,0,3,28,78,63
paul-henri mathieu,nicolas almagro,Hamburg,11-Jul-16,Clay,Second Round,66,44,0,2,18,6,11,57,80,33,74,3,6,34,101,124,1,17,16,4,41,55,26,46,3,14,64,154,131
philipp kohlschreiber,nicolas kicker,Hamburg,11-Jul-16,Clay,Second Round,22,144,0,2,16,4,2,35,44,10,30,6,12,38,76,83,1,9,1,0,29,53,9,23,3,5,29,74,67
pablo cuevas,thiago monteiro,Hamburg,11-Jul-16,Clay,Second Round,24,123,0,2,12,1,0,19,20,14,19,4,13,35,69,68,0,5,1,3,26,50,8,19,0,1,6,39,40
martin klizan,daniel gimeno-traver,Hamburg,11-Jul-16,Clay,Quarter-finals,47,156,0,2,12,0,1,24,34,11,19,5,8,29,60,64,0,7,2,2,19,36,12,24,2,4,18,53,49
stephane robert,guillermo garcia-lopez,Hamburg,11-Jul-16,Clay,Quarter-finals,83,56,0,2,17,2,4,42,61,27,49,3,9,40,103,109,1,15,1,4,47,70,16,33,3,9,41,110,104
pablo cuevas,paul-henri mathieu,Hamburg,11-Jul-16,Clay,Quarter-finals,24,66,0,2,13,12,2,34,37,13,22,2,4,22,59,69,0,7,1,0,26,35,11,24,0,1,12,59,49
renzo olivo,philipp kohlschreiber,Hamburg,11-Jul-16,Clay,Quarter-finals,153,22,0,2,14,2,4,30,42,14,37,6,7,37,77,81,1,11,0,2,28,47,12,30,4,10,35,79,75
pablo cuevas,renzo olivo,Hamburg,11-Jul-16,Clay,Semi-finals,24,153,0,2,13,2,3,30,38,21,30,2,11,29,76,80,0,8,1,5,28,43,19,33,0,6,17,68,64
martin klizan,stephane robert,Hamburg,11-Jul-16,Clay,Semi-finals,47,83,0,2,12,2,1,26,36,11,21,4,12,29,60,66,0,7,0,2,18,32,13,28,2,4,20,57,51
martin klizan,pablo cuevas,Hamburg,11-Jul-16,Clay,Finals,47,24,0,2,12,1,0,31,37,6,14,4,4,18,39,55,0,5,5,1,13,20,8,19,1,2,14,51,35
marco chiudinelli,alex kuznetsov,Newport,11-Jul-16,Grass,First Round,136,327,0,2,13,4,1,38,44,13,20,1,4,21,72,72,0,10,7,0,31,39,20,33,0,1,13,64,64
yuichi sugita,amir weintraub,Newport,11-Jul-16,Grass,First Round,107,216,0,2,16,5,3,37,47,16,27,4,8,26,74,79,1,11,1,2,32,48,16,26,1,2,21,74,69
brian baker,austin krajicek,Newport,11-Jul-16,Grass,First Round,546,129,0,2,15,7,6,35,47,17,30,4,7,34,79,86,1,10,7,4,33,50,12,29,1,6,25,77,70
stefan kozlov,benjamin becker,Newport,11-Jul-16,Grass,First Round,169,96,0,2,12,7,3,20,26,15,24,4,6,22,44,57,0,3,2,3,14,21,8,23,0,1,15,50,37
victor estrella burgos,dennis novikov,Newport,11-Jul-16,Grass,First Round,75,128,0,2,13,4,3,47,61,9,19,1,2,21,62,77,0,9,3,1,28,40,13,22,0,6,24,80,65
adrian mannarino,james duckworth,Newport,11-Jul-16,Grass,First Round,55,202,0,2,20,9,7,59,76,20,45,3,8,43,125,122,1,19,13,3,51,69,31,56,3,7,42,121,124
donald young,jared donaldson,Newport,11-Jul-16,Grass,First Round,61,145,0,2,12,5,3,21,23,14,24,4,5,23,46,58,0,4,0,2,9,22,14,24,0,2,12,47,35
john-patrick smith,jordan thompson,Newport,11-Jul-16,Grass,First Round,173,88,0,2,12,4,1,41,57,9,17,2,5,23,62,73,0,8,2,5,27,36,12,26,0,12,24,74,63
dudi sela,lukas lacko,Newport,11-Jul-16,Grass,First Round,65,98,0,2,12,5,1,19,22,11,21,5,5,26,49,56,0,5,2,2,11,22,12,27,1,2,13,43,36
rajeev ram,mackenzie mcdonald,Newport,11-Jul-16,Grass,First Round,69,419,0,2,12,2,5,25,28,14,30,4,6,27,54,66,0,5,1,1,18,36,9,18,1,3,19,58,46
sam groth,michal przysiezny,Newport,11-Jul-16,Grass,First Round,134,315,0,2,13,23,8,29,34,20,35,2,8,31,80,80,0,10,2,6,31,39,18,41,1,3,20,69,69
frank dancevic,ryan harrison,Newport,11-Jul-16,Grass,First Round,254,158,0,2,12,5,3,27,33,15,22,2,5,20,61,62,0,8,8,0,29,41,12,20,0,0,13,55,54
marcos baghdatis,brian baker,Newport,11-Jul-16,Grass,Second Round,43,546,0,2,12,6,2,19,21,17,23,3,7,22,56,58,0,7,3,3,23,35,11,21,0,0,8,44,42
ivo karlovic,frank dancevic,Newport,11-Jul-16,Grass,Second Round,38,254,0,2,16,20,7,45,53,21,39,1,12,31,103,97,1,16,3,1,51,67,21,36,1,4,26,92,98
marco chiudinelli,john-patrick smith,Newport,11-Jul-16,Grass,Second Round,136,173,0,2,13,1,0,32,46,16,30,4,7,42,98,90,1,12,8,5,47,71,9,27,3,4,28,76,84
dudi sela,rajeev ram,Newport,11-Jul-16,Grass,Second Round,65,69,0,2,12,3,7,26,32,18,29,2,4,26,63,70,0,7,6,4,26,39,11,24,0,7,17,61,54
adrian mannarino,sam groth,Newport,11-Jul-16,Grass,Second Round,55,134,0,2,13,2,4,31,41,14,24,3,6,22,61,67,0,9,9,9,22,25,17,36,2,2,20,65,59
donald young,stefan kozlov,Newport,11-Jul-16,Grass,Second Round,61,169,0,2,12,2,2,19,23,11,15,5,12,31,58,61,0,4,0,5,20,36,7,22,1,2,8,38,35
gilles muller,victor estrella burgos,Newport,11-Jul-16,Grass,Second Round,39,75,0,2,13,11,2,33,39,12,22,3,10,37,87,82,0,10,4,3,37,60,13,27,2,2,16,61,66
steve johnson,yuichi sugita,Newport,11-Jul-16,Grass,Second Round,25,107,0,2,12,6,3,27,34,14,25,3,4,17,41,58,0,5,2,0,11,21,13,20,0,3,18,59,42
gilles muller,adrian mannarino,Newport,11-Jul-16,Grass,Quarter-finals,39,55,0,2,14,16,6,38,49,15,31,4,6,24,63,77,1,9,4,2,28,38,11,25,2,10,27,80,66
marcos baghdatis,dudi sela,Newport,11-Jul-16,Grass,Quarter-finals,43,65,0,2,13,2,4,22,34,13,31,6,11,36,67,71,0,7,0,4,19,39,12,28,3,9,30,65,61
ivo karlovic,marco chiudinelli,Newport,11-Jul-16,Grass,Quarter-finals,38,136,0,2,12,16,4,32,38,9,15,2,2,16,47,57,0,7,2,2,21,31,10,16,0,0,12,53,43
donald young,steve johnson,Newport,11-Jul-16,Grass,Quarter-finals,61,25,0,2,12,8,2,31,38,11,22,3,6,20,50,62,0,5,4,2,17,23,13,27,0,5,18,60,48
gilles muller,donald young,Newport,11-Jul-16,Grass,Semi-finals,39,61,0,2,12,18,3,31,32,9,13,2,6,30,72,70,0,7,0,3,21,35,21,37,0,0,5,45,47
ivo karlovic,marcos baghdatis,Newport,11-Jul-16,Grass,Semi-finals,38,43,0,2,14,17,3,38,45,22,31,0,8,29,94,89,0,12,6,3,36,49,29,45,0,0,16,76,81
ivo karlovic,gilles muller,Newport,11-Jul-16,Grass,Finals,38,39,0,2,20,27,10,71,80,21,43,1,5,32,125,124,1,19,18,3,61,73,32,52,1,2,31,123,124
gastao elias,christian lindell,Bastad,11-Jul-16,Clay,First Round,89,326,0,2,12,2,2,26,37,15,28,4,6,24,46,65,0,5,4,2,17,29,5,17,1,4,24,65,46
dustin brown,daniel munoz de la nava,Bastad,11-Jul-16,Clay,First Round,101,133,0,2,13,5,2,41,50,10,26,3,7,31,72,82,0,8,0,5,22,37,19,35,1,5,25,76,66
albert montanes,elias ymer,Bastad,11-Jul-16,Clay,First Round,125,155,0,2,12,3,3,21,29,18,25,3,6,29,65,68,0,6,3,6,19,31,17,34,0,0,15,54,51
carl soderlund,fred simonsson,Bastad,11-Jul-16,Clay,First Round,479,.,0,2,16,2,4,40,60,16,37,5,17,48,107,104,1,15,4,10,35,55,24,52,5,9,41,97,100
fernando verdasco,henri laaksonen,Bastad,11-Jul-16,Clay,First Round,59,166,0,2,12,4,2,36,53,12,18,3,5,24,54,72,0,5,0,3,15,30,15,24,0,5,23,71,53
taro daniel,horacio zeballos,Bastad,11-Jul-16,Clay,First Round,117,72,0,2,12,2,2,31,40,9,13,3,3,23,56,63,0,6,4,3,22,32,11,24,0,1,13,53,46
aljaz bedene,isak arvidsson,Bastad,11-Jul-16,Clay,First Round,68,507,0,2,13,2,3,26,33,21,32,3,14,33,79,80,0,10,5,3,31,49,15,30,2,5,18,65,64
facundo bagnis,jurgen zopp,Bastad,11-Jul-16,Clay,First Round,93,176,0,2,18,8,3,46,65,22,33,4,6,33,77,101,1,9,3,7,30,44,14,33,0,10,30,98,74
evgeny donskoy,karen khachanov,Bastad,11-Jul-16,Clay,First Round,79,104,0,2,16,6,5,42,60,30,53,2,13,43,114,115,1,15,6,5,38,59,33,55,3,6,41,113,112
andrea arnaboldi,marco trungelliti,Bastad,11-Jul-16,Clay,First Round,230,127,0,2,14,2,3,37,56,21,41,4,13,40,92,98,1,13,5,9,33,50,19,42,4,8,39,97,91
roberto carballes baena,michael berrer,Bastad,11-Jul-16,Clay,First Round,106,119,0,2,14,5,1,39,55,9,12,3,11,35,83,83,0,10,2,5,34,50,14,33,1,3,19,67,67
calvin hemery,tristan lamasine,Bastad,11-Jul-16,Clay,First Round,378,190,0,2,16,6,3,30,46,18,38,6,8,43,95,91,1,13,4,0,34,62,18,33,4,7,36,84,88
fernando verdasco,albert montanes,Bastad,11-Jul-16,Clay,Second Round,59,125,0,2,12,3,2,29,34,10,14,3,11,34,71,73,0,5,1,4,27,46,10,25,0,1,9,48,46
dustin brown,aljaz bedene,Bastad,11-Jul-16,Clay,Second Round,101,68,0,2,18,4,2,43,64,22,33,5,11,37,88,102,1,13,7,6,36,46,15,42,3,12,32,97,83
david ferrer,calvin hemery,Bastad,11-Jul-16,Clay,Second Round,13,378,0,2,16,2,3,41,56,16,38,5,9,44,99,101,1,14,8,8,39,63,16,36,4,10,37,94,92
joao sousa,carl soderlund,Bastad,11-Jul-16,Clay,Second Round,30,479,0,2,12,1,0,23,29,9,16,5,8,21,42,53,0,4,1,1,13,23,8,19,1,2,13,45,34
andrea arnaboldi,evgeny donskoy,Bastad,11-Jul-16,Clay,Second Round,230,79,0,2,12,3,3,26,35,15,25,3,11,20,49,61,0,5,2,0,16,27,13,22,0,2,19,60,48
facundo bagnis,marcel granollers,Bastad,11-Jul-16,Clay,Second Round,93,45,0,2,13,2,2,27,35,14,20,3,7,32,75,73,0,8,2,2,32,55,11,20,1,1,14,55,57
albert ramos-vinolas,roberto carballes baena,Bastad,11-Jul-16,Clay,Second Round,35,106,0,2,13,2,2,34,45,10,21,3,8,33,72,77,0,9,4,1,29,45,10,27,2,3,22,66,61
gastao elias,taro daniel,Bastad,11-Jul-16,Clay,Second Round,89,117,0,2,16,6,4,37,56,32,55,3,7,29,81,98,1,14,2,0,37,59,15,22,3,14,42,111,94
albert ramos-vinolas,andrea arnaboldi,Bastad,11-Jul-16,Clay,Quarter-finals,35,230,0,2,18,2,4,40,68,16,31,8,15,49,98,105,1,12,1,9,30,50,19,48,5,11,43,99,92
david ferrer,dustin brown,Bastad,11-Jul-16,Clay,Quarter-finals,13,101,0,2,16,1,5,41,54,15,29,4,13,27,77,83,1,11,1,2,37,47,13,30,2,5,27,83,77
fernando verdasco,facundo bagnis,Bastad,11-Jul-16,Clay,Quarter-finals,59,93,0,2,12,0,4,28,36,6,14,5,12,33,60,67,0,3,1,3,19,42,8,18,0,4,16,50,43
gastao elias,joao sousa,Bastad,11-Jul-16,Clay,Quarter-finals,89,30,0,2,12,4,1,25,36,7,13,5,7,23,44,55,0,4,0,4,15,21,6,23,1,4,17,49,38
albert ramos-vinolas,david ferrer,Bastad,11-Jul-16,Clay,Semi-finals,35,13,0,2,13,3,0,28,45,8,20,6,11,48,90,84,0,9,7,10,34,62,8,28,4,7,29,65,71
fernando verdasco,gastao elias,Bastad,11-Jul-16,Clay,Semi-finals,59,89,0,2,12,2,0,24,31,6,9,5,8,31,52,61,0,4,1,1,10,23,11,29,1,2,10,40,31
albert ramos-vinolas,fernando verdasco,Bastad,11-Jul-16,Clay,Finals,35,59,0,2,12,2,2,26,39,9,20,5,9,32,65,67,0,7,2,1,28,50,5,15,2,5,24,59,57
bjorn fratangelo,alex kuznetsov,Washington,18-Jul-16,Hard,First Round,108,311,0,2,16,9,5,31,42,23,39,5,7,43,96,97,1,12,5,2,32,53,21,43,3,6,27,81,80
yen-hsun lu,austin krajicek,Washington,18-Jul-16,Hard,First Round,71,133,0,2,13,9,2,32,39,14,23,3,7,21,52,67,0,7,12,5,25,30,6,22,1,4,16,62,47
daniel evans,benjamin becker,Washington,18-Jul-16,Hard,First Round,82,96,0,2,12,3,0,18,21,14,18,4,8,21,43,53,0,3,4,4,13,20,9,23,0,0,7,39,29
john millman,denis kudla,Washington,18-Jul-16,Hard,First Round,65,100,0,2,13,5,1,21,25,12,19,5,8,28,50,61,0,5,2,2,15,25,7,25,1,1,11,44,33
lukas lacko,denis shapovalov,Washington,18-Jul-16,Hard,First Round,102,371,0,2,17,6,6,42,61,22,34,3,4,40,104,104,1,16,7,5,46,61,18,43,3,7,31,95,95
taylor fritz,dudi sela,Washington,18-Jul-16,Hard,First Round,67,62,0,2,12,11,2,32,40,16,34,3,6,25,64,73,0,7,0,5,27,37,12,27,0,7,26,74,65
donald young,ernesto escobedo,Washington,18-Jul-16,Hard,First Round,57,269,0,2,15,6,2,41,49,20,40,2,9,29,86,90,1,13,7,3,39,46,18,40,1,7,28,89,85
adrian mannarino,frances tiafoe,Washington,18-Jul-16,Hard,First Round,55,156,0,2,14,6,3,34,42,14,34,4,6,30,71,78,0,11,8,0,26,47,15,24,3,4,28,76,69
yoshihito nishioka,ivan dodig,Washington,18-Jul-16,Hard,First Round,93,75,1,2,10,0,0,18,22,9,14,4,8,24,42,51,0,4,7,2,11,20,7,22,1,1,9,36,27
malek jaziri,reilly opelka,Washington,18-Jul-16,Hard,First Round,63,.,0,2,20,12,3,63,71,24,42,0,4,32,118,119,1,19,18,5,58,71,28,47,0,1,26,113,112
brian baker,sam groth,Washington,18-Jul-16,Hard,First Round,437,154,0,2,14,9,6,42,51,18,31,0,0,22,77,82,0,12,18,6,40,48,15,29,0,0,22,82,77
ryan harrison,stephane robert,Washington,18-Jul-16,Hard,First Round,158,59,0,2,13,9,1,30,38,11,17,3,5,35,76,76,0,9,4,9,22,29,19,47,1,3,14,55,55
james duckworth,tim smyczek,Washington,18-Jul-16,Hard,First Round,205,120,0,2,13,6,2,26,34,18,30,3,6,25,58,69,0,6,1,1,17,30,16,28,0,2,20,64,53
yuichi sugita,vasek pospisil,Washington,18-Jul-16,Hard,First Round,106,98,0,2,14,5,3,35,43,19,35,2,4,32,90,86,1,14,11,6,40,51,18,39,2,4,24,78,82
jordan thompson,victor estrella burgos,Washington,18-Jul-16,Hard,First Round,90,74,0,2,12,6,1,23,26,15,22,3,8,24,52,62,0,5,1,2,18,31,10,21,0,0,10,48,38
jared donaldson,vincent millot,Washington,18-Jul-16,Hard,First Round,153,147,0,2,17,9,1,39,47,20,43,5,6,41,94,100,1,13,1,3,36,55,17,39,3,9,31,90,84
steve johnson,adrian mannarino,Washington,18-Jul-16,Hard,Second Round,25,55,0,2,12,12,2,33,38,10,20,2,5,19,54,62,0,7,3,2,23,31,12,23,0,1,15,58,50
sam querrey,bjorn fratangelo,Washington,18-Jul-16,Hard,Second Round,29,108,0,2,18,22,3,46,53,29,48,3,7,34,102,109,1,15,8,6,35,49,33,53,1,3,26,101,94
ivo karlovic,brian baker,Washington,18-Jul-16,Hard,Second Round,35,437,0,2,13,19,4,33,37,13,20,2,8,27,77,73,0,9,6,5,33,40,17,37,0,1,11,57,61
bernard tomic,donald young,Washington,18-Jul-16,Hard,Second Round,19,57,0,2,13,12,3,38,48,13,27,2,4,24,66,75,0,9,5,4,22,34,20,32,1,3,24,75,66
daniel evans,grigor dimitrov,Washington,18-Jul-16,Hard,Second Round,82,40,0,2,12,3,4,27,40,15,28,4,9,24,59,66,0,8,3,3,22,34,13,25,2,5,26,68,61
john isner,james duckworth,Washington,18-Jul-16,Hard,Second Round,16,205,0,2,12,14,2,35,38,6,12,2,4,21,55,62,0,7,8,4,20,28,14,27,0,1,9,50,43
benoit paire,jared donaldson,Washington,18-Jul-16,Hard,Second Round,24,153,0,2,13,5,5,21,24,17,32,5,10,30,59,68,0,5,0,5,15,25,14,34,1,2,18,56,47
marcos baghdatis,john millman,Washington,18-Jul-16,Hard,Second Round,41,65,0,2,12,4,2,28,35,10,17,3,3,17,46,55,0,6,0,1,21,34,8,12,0,4,14,52,43
alexandr dolgopolov,jordan thompson,Washington,18-Jul-16,Hard,Second Round,37,90,0,2,14,8,3,36,55,26,46,3,7,29,88,91,1,16,7,2,35,46,24,42,4,9,39,101,98
malek jaziri,kevin anderson,Washington,18-Jul-16,Hard,Second Round,63,33,0,2,18,5,6,49,66,27,45,1,5,23,95,99,1,17,20,7,40,45,32,50,1,8,35,111,107
jack sock,lukas lacko,Washington,18-Jul-16,Hard,Second Round,26,102,0,2,13,10,2,33,40,15,26,2,6,26,71,74,0,10,4,4,26,31,19,40,1,2,18,66,63
alexander zverev,taylor fritz,Washington,18-Jul-16,Hard,Second Round,27,67,0,2,12,7,4,33,38,11,25,3,7,26,61,70,0,6,3,2,22,31,13,30,0,5,19,63,54
ryan harrison,viktor troicki,Washington,18-Jul-16,Hard,Second Round,158,34,0,2,13,6,3,34,47,14,29,3,22,59,127,107,0,10,7,5,46,75,22,52,2,6,28,76,96
gael monfils,yen-hsun lu,Washington,18-Jul-16,Hard,Second Round,17,71,0,2,12,10,1,22,24,10,14,4,8,31,64,63,0,5,1,6,17,33,16,31,0,0,6,38,39
gilles muller,yoshihito nishioka,Washington,18-Jul-16,Hard,Second Round,36,93,0,2,12,11,1,24,28,13,23,3,5,22,48,59,0,5,2,2,20,30,6,18,0,0,14,51,40
borna coric,yuichi sugita,Washington,18-Jul-16,Hard,Second Round,53,106,0,2,12,3,2,20,29,20,29,3,10,35,77,75,0,8,1,4,31,45,11,32,1,3,18,58,60
sam querrey,alexandr dolgopolov,Washington,18-Jul-16,Hard,Third Round,29,37,0,2,13,13,1,30,35,11,26,4,7,29,68,70,0,9,1,3,24,36,15,32,2,4,20,61,59
ivo karlovic,bernard tomic,Washington,18-Jul-16,Hard,Third Round,35,19,0,2,13,21,4,37,39,12,20,1,2,17,60,66,0,9,7,2,27,35,16,25,0,0,10,59,53
gael monfils,borna coric,Washington,18-Jul-16,Hard,Third Round,17,53,0,2,12,12,1,22,23,10,16,4,6,21,46,53,0,5,4,1,15,24,10,22,0,0,7,39,32
jack sock,daniel evans,Washington,18-Jul-16,Hard,Third Round,26,82,0,2,13,5,3,23,25,19,31,3,7,30,70,72,0,6,7,2,26,42,14,28,0,1,14,56,54
benoit paire,gilles muller,Washington,18-Jul-16,Hard,Third Round,24,36,0,2,16,14,5,39,46,23,42,2,4,26,87,88,1,14,11,6,38,48,23,39,1,6,26,88,87
alexander zverev,malek jaziri,Washington,18-Jul-16,Hard,Third Round,27,63,0,2,17,4,6,34,43,20,35,4,12,46,109,100,1,11,4,7,39,53,24,56,1,3,24,78,87
john isner,marcos baghdatis,Washington,18-Jul-16,Hard,Third Round,16,41,0,2,13,15,1,33,37,12,19,2,6,22,63,67,0,8,10,6,21,29,20,34,0,0,11,56,52
steve johnson,ryan harrison,Washington,18-Jul-16,Hard,Third Round,25,158,0,2,12,8,1,31,36,9,16,2,5,17,54,57,0,8,6,1,26,33,11,21,0,0,12,52,49
alexander zverev,benoit paire,Washington,18-Jul-16,Hard,Quarter-finals,27,24,0,2,12,5,4,25,29,8,15,4,6,29,54,62,0,4,2,9,10,20,15,34,0,2,11,44,36
ivo karlovic,jack sock,Washington,18-Jul-16,Hard,Quarter-finals,35,26,0,2,14,26,6,43,53,19,35,0,1,17,75,79,0,12,12,2,33,43,25,32,0,4,26,88,84
steve johnson,john isner,Washington,18-Jul-16,Hard,Quarter-finals,25,16,0,2,14,22,3,51,65,22,35,0,0,14,80,87,0,12,30,1,47,55,19,25,0,6,27,100,93
gael monfils,sam querrey,Washington,18-Jul-16,Hard,Quarter-finals,17,29,0,2,15,10,1,29,39,24,39,3,5,21,66,74,1,11,6,2,28,37,17,29,1,3,25,78,70
gael monfils,alexander zverev,Washington,18-Jul-16,Hard,Semi-finals,17,27,0,2,12,10,0,27,34,8,16,4,7,21,43,56,0,4,3,3,12,19,10,24,0,2,15,50,37
ivo karlovic,steve johnson,Washington,18-Jul-16,Hard,Semi-finals,35,25,0,2,12,14,5,30,35,16,26,2,5,22,65,68,0,8,7,0,26,39,17,26,0,5,15,61,58
gael monfils,ivo karlovic,Washington,18-Jul-16,Hard,Finals,17,35,0,2,18,16,7,56,72,19,34,2,9,28,105,103,1,17,28,4,54,64,23,41,2,4,31,106,108
jan-lennard struff,akira santillan,Kitzbuhel,18-Jul-16,Clay,First Round,86,295,0,2,12,3,4,22,26,13,20,4,8,25,51,60,0,4,1,3,16,30,10,21,0,5,11,46,37
gerald melzer,albert montanes,Kitzbuhel,18-Jul-16,Clay,First Round,107,122,0,2,18,4,2,47,62,19,27,2,10,38,112,104,1,16,8,6,42,58,32,54,1,2,23,89,97
roberto carballes baena,dennis novak,Kitzbuhel,18-Jul-16,Clay,First Round,103,198,0,2,12,5,1,24,30,7,15,5,8,23,40,54,0,2,1,5,11,23,6,17,0,2,14,45,31
mischa zverev,facundo bagnis,Kitzbuhel,18-Jul-16,Clay,First Round,146,88,0,2,14,7,3,32,52,23,39,2,2,33,82,88,0,12,2,4,38,58,11,24,2,8,36,91,85
karen khachanov,filippo volandri,Kitzbuhel,18-Jul-16,Clay,First Round,104,226,0,2,12,7,2,23,30,15,31,5,9,27,54,65,0,6,0,1,20,40,7,14,2,6,23,61,50
daniel gimeno-traver,inigo cervantes,Kitzbuhel,18-Jul-16,Clay,First Round,131,76,0,2,12,3,4,28,34,9,21,4,7,26,61,63,0,8,7,1,19,31,16,30,2,3,18,55,53
igor sijsling,kenny de schepper,Kitzbuhel,18-Jul-16,Clay,First Round,115,159,0,2,13,2,0,26,37,17,29,4,6,29,68,72,0,7,3,1,28,45,11,23,1,1,23,66,62
nikoloz basilashvili,lukas rosol,Kitzbuhel,18-Jul-16,Clay,First Round,123,79,0,2,13,3,3,36,51,13,23,3,7,31,75,80,0,10,4,5,29,41,15,34,2,6,25,74,69
adam pavlasek,maximo gonzalez,Kitzbuhel,18-Jul-16,Clay,First Round,116,134,0,2,12,3,4,25,30,20,34,2,6,25,60,70,0,7,5,3,23,38,12,22,0,3,19,64,54
daniel munoz de la nava,michael berrer,Kitzbuhel,18-Jul-16,Clay,First Round,138,121,0,2,12,5,3,27,32,11,22,3,6,23,56,61,0,6,5,0,27,42,6,14,0,1,16,54,49
dusan lajovic,rogerio dutra silva,Kitzbuhel,18-Jul-16,Clay,First Round,83,91,0,2,13,5,0,37,41,9,14,2,3,18,55,64,0,7,3,3,23,32,14,23,0,0,9,55,46
jurgen melzer,taro daniel,Kitzbuhel,18-Jul-16,Clay,First Round,421,113,0,2,13,4,2,34,53,13,23,4,10,32,75,79,0,10,5,8,28,42,15,33,3,9,29,76,72
gerald melzer,daniel gimeno-traver,Kitzbuhel,18-Jul-16,Clay,Second Round,107,131,0,2,12,3,2,32,42,8,13,4,9,29,58,69,0,4,3,3,21,33,8,25,0,5,15,55,44
